iter	Passed	Remaining
0	0	60
1	1	73
2	2	92
3	4	97
4	5	102
5	6	103
6	7	104
7	9	107
8	10	107
9	11	106
10	12	104
11	14	105
12	15	103
13	16	101
14	17	100
15	18	98
16	19	97
17	21	96
18	22	94
19	23	93
20	24	92
21	25	91
22	26	89
23	27	87
24	28	85
25	29	84
26	30	82
27	31	81
28	32	79
29	33	78
30	34	76
31	35	74
32	36	73
33	37	71
34	37	70
35	38	69
36	39	67
37	40	66
38	41	64
39	42	63
40	43	62
41	43	59
42	44	58
43	44	57
44	45	55
45	46	54
46	47	53
47	48	52
48	48	50
49	49	49
50	50	48
51	50	47
52	51	45
53	52	44
54	52	43
55	53	42
56	54	41
57	55	39
58	55	38
59	56	37
60	57	36
61	58	35
62	58	34
63	59	33
64	60	32
65	60	31
66	61	30
67	62	29
68	63	28
69	63	27
70	64	26
71	65	25
72	65	24
73	66	23
74	67	22
75	67	21
76	68	20
77	69	19
78	69	18
79	70	17
80	71	16
81	71	15
82	72	14
83	72	13
84	73	12
85	73	12
86	74	11
87	75	10
88	75	9
89	76	8
90	76	7
91	77	6
92	77	5
93	77	4
94	78	4
95	78	3
96	79	2
97	79	1
98	80	0
99	80	0
