iter	Passed	Remaining
0	65	65319
1	66	32958
2	66	22129
3	67	16718
4	67	13465
5	68	11298
6	68	9746
7	69	8586
8	69	7689
9	70	6974
10	70	6374
11	71	5878
12	71	5463
13	72	5113
14	73	4806
15	73	4544
16	74	4303
17	74	4086
18	75	3894
19	75	3722
20	76	3567
21	77	3428
22	77	3299
23	78	3183
24	78	3074
25	79	2971
26	79	2879
27	80	2789
28	80	2706
29	81	2628
30	81	2555
31	82	2486
32	82	2424
33	83	2365
34	83	2306
35	84	2252
36	84	2203
37	85	2159
38	85	2117
39	86	2074
40	86	2033
41	87	1994
42	87	1957
43	88	1921
44	89	1888
45	89	1856
46	90	1829
47	90	1801
48	91	1773
49	91	1746
50	92	1718
51	92	1692
52	93	1666
53	93	1642
54	94	1617
55	94	1594
56	95	1572
57	95	1552
58	96	1533
59	96	1514
60	97	1497
61	97	1478
62	98	1459
63	98	1442
64	99	1425
65	99	1408
66	99	1392
67	100	1377
68	101	1363
69	101	1349
70	102	1335
71	102	1322
72	103	1308
73	103	1296
74	104	1284
75	104	1272
76	105	1260
77	105	1248
78	106	1237
79	106	1226
80	107	1216
81	107	1205
82	107	1192
83	108	1181
84	108	1171
85	109	1162
86	109	1152
87	110	1142
88	110	1133
89	111	1125
90	111	1116
91	112	1108
92	112	1100
93	113	1092
94	113	1084
95	114	1076
96	114	1068
97	115	1059
98	115	1052
99	116	1044
100	116	1037
101	116	1029
102	117	1024
103	118	1018
104	118	1012
105	119	1005
106	119	999
107	120	993
108	120	988
109	121	981
110	121	976
111	122	970
112	123	965
113	123	960
114	124	954
115	124	948
116	124	942
117	125	937
118	126	933
119	126	928
120	127	923
121	127	918
122	128	915
123	129	911
124	129	907
125	130	903
126	130	898
127	131	894
128	131	890
129	132	885
130	132	881
131	133	877
132	133	873
133	134	869
134	135	865
135	135	860
136	136	856
137	136	854
138	137	850
139	137	846
140	138	842
141	138	838
142	139	836
143	140	832
144	140	829
145	141	824
146	141	821
147	142	818
148	142	815
149	143	811
150	143	808
151	144	805
152	144	801
153	145	798
154	145	795
155	146	792
156	146	788
157	147	786
158	148	783
159	148	779
160	148	775
161	149	772
162	149	769
163	150	766
164	150	763
165	151	760
166	151	757
167	152	754
168	152	751
169	153	749
170	153	746
171	154	744
172	155	741
173	155	738
174	156	736
175	156	733
176	157	730
177	157	727
178	158	725
179	158	722
180	159	720
181	159	717
182	160	715
183	160	713
184	161	711
185	161	708
186	162	706
187	162	703
188	163	701
189	164	699
190	164	697
191	165	694
192	165	692
193	166	690
194	166	688
195	167	686
196	167	684
197	168	681
198	168	679
199	169	678
